# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1776800376005000000,1776800383579000000,0
cacheStateStorage.set.counter,1776800376005000000,1776800383579000000,7
cacheStateStorage.set.duration,1776800376005000000,1776800383579000000,6
cacheStateStorage.get.counter,1776800376005000000,1776800383579000000,10
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776800376005000000,1776800383579000000,0
workspaceModel.global.apply.state.to.project.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776800376005000000,1776800383579000000,0
jps.global.initialize.library.bridges.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776800376005000000,1776800383579000000,0
jps.global.handle.before.change.events.ms,1776800376005000000,1776800383579000000,0
jps.save.global.entities.ms,1776800376005000000,1776800383579000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776800376005000000,1776800383579000000,0
workspaceModel.load.cache.from.file.ms,1776800376005000000,1776800383579000000,0
workspaceModel.sync.entities.ms,1776800376005000000,1776800383579000000,0
workspaceModel.global.updates.count,1776800376005000000,1776800383579000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776800376005000000,1776800383579000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776800376005000000,1776800383579000000,1
jps.library.entities.serializer.load.entities.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776800376005000000,1776800383579000000,0
jps.global.handle.changed.events.ms,1776800376005000000,1776800383579000000,0
jps.app.storage.content.reader.load.component.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.instances.count,1776800376005000000,1776800383579000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1776800376005000000,1776800383579000000,0
workspaceModel.global.updates.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1776800376005000000,1776800383579000000,0
jps.load.initial.state.ms,1776800376005000000,1776800383579000000,11
workspaceModel.save.cache.to.file.ms,1776800376005000000,1776800383579000000,0
jps.global.get.libraries.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1776800376005000000,1776800383579000000,0
workspaceModel.do.save.caches.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776800376005000000,1776800383579000000,0
jps.global.get.library.ms,1776800376005000000,1776800383579000000,0
jps.library.entities.serializer.save.entities.ms,1776800376005000000,1776800383579000000,0
jps.app.storage.content.writer.save.component.ms,1776800376005000000,1776800383579000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776800376005000000,1776800383579000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776800376005000000,1776800383579000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776800376005000000,1776800383579000000,0
jps.global.get.library.by.name.ms,1776800376005000000,1776800383579000000,0
